"k","l","cm","n_missings"
7,2,[251 6 7 4 3 3 12 3 5 4; 0 333 2 0 3 0 1 3 0 5; 10 12 281 2 3 3 2 10 3 2; 9 29 11 245 1 6 2 12 9 6; 1 25 1 0 271 0 7 5 2 21; 5 16 4 10 3 234 30 4 4 9; 16 9 2 0 1 5 298 1 10 0; 1 12 3 0 1 0 1 304 3 2; 7 9 5 9 1 9 25 3 265 11; 4 29 4 5 38 5 0 11 1 234],1
7,3,[251 4 3 3 1 1 12 3 5 4; 0 334 2 0 2 0 1 3 0 3; 7 10 277 1 3 2 2 10 2 1; 7 27 6 242 0 5 2 11 8 5; 0 25 1 0 264 0 8 5 1 20; 2 14 1 7 3 228 22 2 5 8; 17 9 1 0 1 4 298 1 8 0; 0 12 3 1 0 0 1 302 2 2; 4 9 5 9 1 7 21 1 259 9; 4 29 2 4 35 4 0 9 1 234],115
7,4,[243 3 0 1 1 0 7 2 4 2; 0 331 1 0 1 0 0 2 0 3; 5 7 264 1 2 1 1 5 0 0; 4 23 2 208 0 1 1 10 3 2; 0 14 0 0 254 0 3 3 0 13; 2 11 0 5 1 202 15 1 0 3; 10 7 1 0 0 2 281 1 4 0; 0 11 1 0 0 0 1 292 2 1; 0 7 0 3 0 5 14 1 231 7; 1 22 0 3 28 1 0 6 0 213],476
7,5,[216 2 0 1 1 0 0 1 2 2; 0 322 0 0 0 0 0 1 0 0; 2 2 232 1 0 0 0 4 0 0; 2 14 1 172 0 0 1 4 2 0; 0 9 0 0 210 0 1 1 0 5; 0 5 0 3 0 164 9 1 0 0; 7 2 0 0 0 0 251 1 3 0; 0 9 0 0 0 0 0 271 0 0; 0 4 0 0 0 2 3 0 191 3; 0 17 0 2 17 1 0 6 0 177],940
7,6,[189 2 0 0 0 0 0 1 1 1; 0 304 0 0 0 0 0 0 0 0; 1 1 195 0 0 0 0 2 0 0; 1 3 0 133 0 0 0 1 0 0; 0 3 0 0 156 0 1 0 0 1; 0 3 0 0 0 121 3 0 0 0; 2 1 0 0 0 0 199 1 0 0; 0 4 0 0 0 0 0 251 0 0; 0 2 0 0 0 1 0 0 128 2; 0 10 0 2 3 0 0 1 0 117],1453
7,7,[138 2 0 0 0 0 0 1 0 0; 0 290 0 0 0 0 0 0 0 0; 0 1 147 0 0 0 0 1 0 0; 0 2 0 82 0 0 0 0 0 0; 0 1 0 0 94 0 1 0 0 1; 0 0 0 0 0 72 0 0 0 0; 1 1 0 0 0 0 129 1 0 0; 0 2 0 0 0 0 0 205 0 0; 0 1 0 0 0 0 0 0 76 0; 0 7 0 0 1 0 0 0 0 46],1997
8,1,[252 7 4 4 2 2 11 6 6 4; 0 334 1 2 2 0 1 3 0 5; 9 12 279 3 2 3 4 11 2 3; 9 32 11 234 1 6 3 13 14 7; 1 24 1 0 270 1 9 7 1 19; 7 20 1 11 4 229 27 1 8 11; 22 8 2 0 2 5 292 1 10 0; 0 13 5 0 0 0 2 301 3 3; 7 8 3 8 1 8 26 1 268 14; 7 30 2 4 35 4 0 11 0 238],0
8,2,[257 7 4 3 2 1 11 4 4 5; 0 334 1 1 3 0 0 3 1 5; 8 11 286 2 2 3 3 8 2 3; 9 30 11 235 0 8 4 14 13 6; 0 27 2 0 266 0 10 5 1 22; 6 18 3 8 3 227 29 4 8 13; 21 8 2 0 2 5 296 1 7 0; 0 13 6 0 0 0 2 302 2 2; 6 8 5 10 1 8 21 0 272 13; 5 31 1 5 40 4 0 11 1 233],0
8,3,[255 5 3 3 2 2 8 4 6 4; 0 333 1 0 1 0 2 3 0 5; 6 12 280 1 2 2 3 9 3 3; 7 29 8 240 0 6 1 12 14 5; 0 24 1 0 264 0 9 5 1 21; 6 19 1 9 3 224 23 1 7 11; 23 8 2 0 2 5 293 1 7 0; 0 12 5 0 0 0 2 303 2 1; 5 8 3 7 1 7 22 0 268 12; 5 29 2 4 39 4 0 9 0 235],65
8,4,[245 3 1 2 1 1 9 3 5 3; 0 331 1 0 1 0 0 2 0 4; 5 9 269 1 2 2 2 6 0 0; 5 28 5 216 0 3 1 11 7 3; 0 19 1 0 258 0 7 3 0 14; 2 13 0 7 1 209 18 1 3 5; 18 9 1 0 0 4 284 1 7 0; 0 11 1 0 0 0 1 298 2 1; 1 8 1 5 0 5 13 0 248 11; 1 27 0 3 35 2 0 7 0 219],328
